Action|Reward|In Progress
1|3.8947368421052637|True
1|3.6842105263157894|True
1|3.6842105263157894|True
3|4.684210526315789|True
1|4.894736842105264|True
3|4.526315789473684|True
1|4.473684210526316|True
2|4.947368421052632|True
2|0.42105263157894757|True
2|0.42105263157894757|True
3|0.9999999999999998|True
2|0|True
3|4.473684210526316|True
2|4.473684210526316|True
3|4.473684210526316|True
2|4.473684210526316|True
3|4.473684210526316|True
2|4.473684210526316|True
2|4.7894736842105265|True
2|4.7894736842105265|True
2|4.7894736842105265|True
2|3.7894736842105265|True
2|3.7894736842105265|True
2|3.7894736842105265|True
3|4.7894736842105265|True
2|4.7894736842105265|True
3|2.8421052631578947|True
2|2.8421052631578947|True
2|2.8421052631578947|True
2|2.8421052631578947|True
2|2.8421052631578947|True
2|1.6842105263157894|True
2|1.6842105263157894|True
2|1.6842105263157894|True
2|1.6842105263157894|True
3|2.6842105263157894|True
0|2.8421052631578947|True
1|2.8421052631578947|True
3|2.8421052631578947|True
2|2.8421052631578947|True
1|2.8421052631578947|True
3|0.9473684210526317|True
1|0.9473684210526317|True
2|2.0|True
1|3.947368421052632|True
3|4.947368421052632|True
2|4.947368421052632|True
1|0.9473684210526317|True
3|0.42105263157894757|True
2|0.42105263157894757|True
2|0.4736842105263156|True
2|0|True
2|0|True
2|-1|True
3|0|True
2|2.789473684210526|True
3|0.9473684210526317|True
2|0.368421052631579|True
3|0.8421052631578946|True
2|0|True
3|1.3684210526315788|True
2|3.947368421052632|True
2|1.3157894736842106|True
2|1.3157894736842106|True
2|1.3157894736842106|True
2|0.3157894736842106|True
2|0.3157894736842106|True
3|1.3157894736842106|True
1|1.3684210526315788|True
2|1.3684210526315788|True
1|1.3684210526315788|True
2|0|True
3|1.842105263157895|True
2|0.42105263157894757|True
3|2.6315789473684212|True
1|2.1052631578947367|True
1|3.894736842105263|True
1|4.052631578947368|True
1|4.2105263157894735|False
