Action|Reward|In Progress
1|3.6842105263157894|True
1|3.6842105263157894|True
1|3.6315789473684212|True
1|3.6842105263157894|True
3|4.684210526315789|True
1|4.631578947368421|True
3|4.631578947368421|True
0|4.052631578947368|True
1|3.736842105263158|True
3|3.736842105263158|True
2|0|True
2|0|True
3|0|True
2|1.6315789473684212|True
3|0.736842105263158|True
2|0.736842105263158|True
1|3.3684210526315788|True
3|3.3684210526315788|True
1|2.368421052631579|True
2|2.368421052631579|True
2|2.3157894736842106|True
2|2.3157894736842106|True
2|1.3157894736842106|True
2|0.8421052631578949|True
2|0.8421052631578949|True
2|0.8421052631578949|True
2|0.8421052631578949|True
2|0.8421052631578949|True
2|0.8421052631578949|True
2|0.8421052631578949|True
3|1.842105263157895|True
2|1.842105263157895|True
1|1.3157894736842106|True
3|1.3157894736842106|True
2|1.3157894736842106|True
2|0|True
2|0|True
2|0|True
2|-1|True
3|0.8421052631578946|True
2|0.5263157894736842|True
1|0.5263157894736842|True
3|0|True
1|0|True
2|0|True
1|0|True
3|0|True
1|0.6315789473684208|True
1|0.6315789473684208|True
3|4.7894736842105265|True
1|4.473684210526316|True
2|4.473684210526316|True
1|0|True
3|0|True
2|0|True
2|0.5789473684210528|True
2|0.5789473684210528|True
2|0.5789473684210528|True
3|0.5789473684210528|True
2|0.5789473684210528|True
3|0.5789473684210528|True
2|0.5789473684210528|True
1|0|True
3|0|True
2|0.42105263157894757|True
2|0.4736842105263156|True
2|0.4736842105263156|True
2|0.4736842105263156|True
2|-0.5263157894736844|True
2|-0.5263157894736844|True
2|-0.5263157894736844|True
2|-0.21052631578947345|True
2|-1|True
2|-0.7368421052631576|True
2|-0.7368421052631576|True
2|0.15789473684210553|True
2|-0.631578947368421|True
2|-0.6842105263157896|True
2|-1|True
2|-1|True
3|0|True
2|0|True
1|0.1578947368421052|True
3|0.1578947368421052|True
2|0|True
1|0|True
3|0|True
0|4.473684210526316|True
1|0.1578947368421052|True
4|4.631578947368421|True
1|0|True
1|0.9473684210526314|True
1|1.1578947368421053|True
1|3.526315789473684|True
1|-1|True
1|3.578947368421052|False
