Action|Reward|In Progress
1|-2.5|True
1|-2.5|True
1|-2.5|True
1|-2.5|True
1|-2.5|True
3|4.684210526315789|True
0|4.684210526315789|True
2|4.526315789473684|True
3|0|True
3|2.6842105263157894|True
2|0|True
1|2.473684210526316|True
3|0.5789473684210528|True
2|1.263157894736842|True
1|1.263157894736842|True
2|0.21052631578947378|True
3|0.21052631578947378|True
2|0.21052631578947378|True
1|1.7894736842105263|True
3|1.263157894736842|True
2|0|True
2|4.684210526315789|True
3|0.8421052631578946|True
2|0.5789473684210528|True
3|0|True
2|0|True
1|3.947368421052632|True
1|3.947368421052632|True
3|0.9473684210526317|True
2|0.9473684210526317|True
1|3.4736842105263155|True
2|1.842105263157895|True
2|1.842105263157895|True
2|0.5263157894736842|True
2|0.5263157894736842|True
3|0.5263157894736842|True
3|0.5263157894736842|True
2|1.3157894736842106|True
1|1.105263157894737|True
3|1.105263157894737|True
2|0|True
1|0|True
0|0|True
3|1.8947368421052628|True
2|0|True
2|0|True
1|1.105263157894737|True
3|0.7894736842105265|True
2|0.8947368421052632|True
1|0.8947368421052632|True
3|0|True
2|1.0526315789473684|True
2|1.0526315789473684|True
2|1.526315789473684|True
2|1.526315789473684|True
3|1.526315789473684|True
2|1.526315789473684|True
1|0|True
3|1.473684210526316|True
2|1.4210526315789473|True
2|1.842105263157895|True
2|0.4736842105263156|True
2|0.4736842105263156|True
2|0.4736842105263156|True
2|0.4736842105263156|True
3|0.4736842105263156|True
2|1.105263157894737|True
3|0|True
2|2.0526315789473686|True
2|2.0526315789473686|True
3|1.8947368421052628|True
1|0|True
0|1.4210526315789473|True
1|1.4210526315789473|True
1|4.052631578947368|True
1|4.736842105263158|True
1|4.842105263157895|False
