Action|Reward|In Progress
1|3.3157894736842106|True
1|3.3684210526315788|True
3|4.368421052631579|True
1|4.315789473684211|True
3|3.8421052631578947|True
1|3.5789473684210527|True
0|3.5789473684210527|True
1|0|True
3|0|True
1|4.105263157894737|True
0|4.0|True
1|3.68421052631579|True
3|1.6315789473684212|True
2|1.6315789473684212|True
3|0.21052631578947378|True
2|0.21052631578947378|True
2|0|True
2|0|True
2|0|True
2|-1|True
2|-1|True
2|-1|True
2|-1|True
3|0|True
2|1.4210526315789473|True
3|0.26315789473684237|True
2|0|True
2|0.42105263157894757|True
2|0.42105263157894757|True
2|0.42105263157894757|True
2|2.0|True
3|3.0|True
2|3.0|True
1|0.21052631578947378|True
3|0.21052631578947378|True
2|2.789473684210526|True
2|0.3157894736842104|True
2|0.3157894736842104|True
2|0.3157894736842104|True
3|0.3157894736842104|True
2|1.2105263157894735|True
3|0.9999999999999998|True
2|0.42105263157894757|True
2|0.4736842105263156|True
2|0.4736842105263156|True
2|0.4736842105263156|True
3|3.3684210526315788|True
2|0.1578947368421052|True
3|4.105263157894737|True
2|4.105263157894737|True
2|1.8947368421052628|True
2|1.8947368421052628|True
2|1.8947368421052628|True
2|0.8947368421052628|True
2|0.8947368421052628|True
3|1.8947368421052628|True
0|0|True
1|2.789473684210526|True
3|2.789473684210526|True
2|0|True
1|1.6315789473684212|True
3|0|True
1|4.684210526315789|True
1|4.7894736842105265|True
3|4.7894736842105265|True
1|4.684210526315789|True
2|4.473684210526316|True
1|1.6315789473684212|True
3|0|True
2|0|True
2|3.947368421052632|True
2|3.947368421052632|True
3|4.526315789473684|True
1|1.263157894736842|True
2|3.2105263157894735|True
1|3.2105263157894735|True
3|3.2105263157894735|True
2|3.6315789473684212|True
2|0.6842105263157894|True
2|0.6842105263157894|True
2|0.6842105263157894|True
2|-0.3157894736842106|True
2|-0.3157894736842106|True
2|-0.3157894736842106|True
2|-0.3157894736842106|True
3|0.6842105263157894|True
2|0.052631578947368585|True
3|1.105263157894737|True
2|1.105263157894737|True
2|1.0526315789473684|True
2|1.0526315789473684|True
2|1.0526315789473684|True
2|0.05263157894736836|True
2|0.05263157894736836|True
2|0.05263157894736836|True
3|1.0526315789473684|True
2|0|True
1|0|True
3|2.1578947368421053|True
2|2.1578947368421053|True
3|0|True
2|0|True
2|4.105263157894737|True
2|0|True
2|0|True
2|-1|True
2|-1|True
2|-1|True
2|-1|True
1|2.7894736842105265|True
1|3.2105263157894735|True
1|3.2105263157894735|False
