Action|Reward|In Progress
1|-2.5|True
1|-2.5|True
3|4.631578947368421|True
3|4.631578947368421|True
0|4.105263157894737|True
1|4.0|True
3|4.0|True
2|0|True
1|3.7894736842105265|True
3|2.0526315789473686|True
2|2.0526315789473686|True
2|4.315789473684211|True
2|3.947368421052632|True
3|3.947368421052632|True
2|3.947368421052632|True
1|3.947368421052632|True
3|4.894736842105264|True
2|4.894736842105264|True
3|2.0|True
2|2.0|True
2|3.5789473684210527|True
2|2.473684210526316|True
2|2.473684210526316|True
3|0|True
2|0|True
1|0|True
3|1.7894736842105263|True
2|4.894736842105264|True
1|1.8947368421052628|True
3|1.842105263157895|True
2|1.842105263157895|True
1|4.684210526315789|True
1|3.8421052631578947|True
3|4.894736842105264|True
1|4.894736842105264|True
1|0|True
3|4.684210526315789|True
1|4.473684210526316|True
2|4.473684210526316|True
1|0|True
2|0.6315789473684208|True
1|0.9999999999999998|True
3|2.0|True
2|2.0|True
3|0|True
2|0.3157894736842104|True
2|0|True
2|0.8421052631578946|True
2|0.8421052631578946|True
2|0.8421052631578946|True
2|0.8421052631578946|True
2|0.8421052631578946|True
2|-2.5|True
3|0.8421052631578946|True
2|0.8421052631578946|True
3|0|True
2|0.6842105263157894|True
2|0.5789473684210528|True
2|0|True
2|0|True
2|0|True
2|0|True
2|0|True
2|0|True
2|-2.5|True
2|-2.5|True
2|-2.5|True
3|0.26315789473684237|True
2|0.26315789473684237|True
2|0|True
2|0|True
2|0|True
2|0|True
2|0|True
3|0|True
2|0|True
1|3.2631578947368425|True
3|3.2631578947368425|True
2|1.2105263157894735|True
1|1.2105263157894735|True
1|0|True
1|4.368421052631579|True
1|0|False
