Action|Reward|In Progress
1|3.6315789473684212|True
1|3.6842105263157894|True
1|3.6842105263157894|True
3|4.684210526315789|True
1|4.7894736842105265|True
3|4.315789473684211|True
1|4.315789473684211|True
0|3.7894736842105265|True
1|3.1052631578947363|True
3|3.4736842105263155|True
1|4.157894736842105|True
0|4.157894736842105|True
1|0|True
3|0|True
2|0|True
1|1.105263157894737|True
3|2.210526315789474|True
1|4.7894736842105265|True
2|4.473684210526316|True
1|4.473684210526316|True
3|0.7894736842105265|True
2|1.6315789473684212|True
2|2.0|True
2|2.0|True
2|2.0|True
2|1.0|True
2|-0.3684210526315792|True
2|-0.3684210526315792|True
2|-0.3684210526315792|True
3|0.6315789473684208|True
2|0.6315789473684208|True
1|2.473684210526316|True
3|2.473684210526316|True
2|0|True
2|0.368421052631579|True
2|0.368421052631579|True
2|0.368421052631579|True
2|-0.631578947368421|True
2|-0.631578947368421|True
2|-0.631578947368421|True
3|0.368421052631579|True
2|0|True
3|0.5789473684210528|True
2|2.263157894736842|True
1|0|True
3|0|True
2|0|True
2|0|True
2|0|True
2|0.21052631578947378|True
2|-0.7894736842105262|True
2|-0.7894736842105262|True
2|-0.7894736842105262|True
2|-0.10526315789473684|True
3|0.8947368421052632|True
2|0.8947368421052632|True
1|0|True
3|2.368421052631579|True
2|0|True
1|0|True
3|0|True
2|0|True
3|0|True
2|0.8947368421052632|True
1|1.9473684210526314|True
3|3.2105263157894735|True
1|3.2105263157894735|True
3|0.7894736842105265|True
2|0|True
1|0|True
1|4.368421052631579|True
3|4.0|True
1|3.947368421052632|True
2|3.947368421052632|True
1|0|True
2|0.8421052631578946|True
2|-0.42105263157894723|True
2|-0.42105263157894723|True
2|-0.42105263157894723|True
3|0.5789473684210528|True
2|0.5789473684210528|True
3|0.3157894736842104|True
2|1.3684210526315788|True
3|0|True
2|1.0526315789473684|True
2|0.368421052631579|True
2|0.052631578947368585|True
2|0.052631578947368585|True
2|-0.9473684210526314|True
2|-0.9473684210526314|True
2|-1|True
2|-1|True
3|0|True
2|0|True
3|0.21052631578947378|True
2|0.21052631578947378|True
1|0.736842105263158|True
3|0|True
1|0|True
2|0|True
1|0|True
3|0.21052631578947378|True
2|2.421052631578947|True
3|0.7894736842105265|True
2|0.7894736842105265|True
2|1.6842105263157898|True
2|1.6842105263157898|True
2|0.0|True
2|-1.0|True
2|-0.3157894736842106|True
2|-0.3157894736842106|True
2|-0.3157894736842106|True
2|-1|True
2|-1|True
2|-1|True
3|0|True
2|0|True
3|0|True
2|0.5263157894736842|True
1|4.157894736842105|True
1|4.842105263157895|True
1|4.947368421052632|True
1|3.947368421052632|True
1|3.8947368421052637|False
