Action|Reward|In Progress
1|-2.5|True
1|-2.5|True
3|4.421052631578947|True
1|4.578947368421052|True
3|4.315789473684211|True
2|4.578947368421052|True
1|4.368421052631579|True
3|2.526315789473684|True
2|2.3157894736842106|True
1|2.6842105263157894|True
3|2.6842105263157894|True
2|1.842105263157895|True
3|1.5789473684210527|True
2|2.210526315789474|True
1|1.9473684210526314|True
3|1.9473684210526314|True
2|2.1052631578947367|True
2|0.8947368421052632|True
3|0.8947368421052632|True
2|1.6315789473684212|True
3|1.4210526315789473|True
2|1.7368421052631577|True
3|0|True
1|4.894736842105264|True
3|4.2105263157894735|True
2|4.578947368421052|True
3|2.473684210526316|True
2|0.5263157894736842|True
1|2.8421052631578947|True
3|2.8947368421052633|True
2|0|True
2|1.3157894736842106|True
2|0|True
2|0|True
3|0|True
2|1.473684210526316|True
1|2.210526315789474|True
3|3.0|True
0|4.578947368421052|True
3|4.947368421052632|True
2|4.2631578947368425|True
1|0|True
3|0|True
0|0|True
1|0|True
3|0|True
3|2.6842105263157894|True
0|2.473684210526316|True
1|0|True
3|0|True
2|0|True
2|1.7368421052631577|True
2|1.7368421052631577|True
3|1.7368421052631577|True
2|1.7368421052631577|True
3|1.263157894736842|True
2|0.6315789473684208|True
3|1.105263157894737|True
2|1.5789473684210527|True
3|3.1052631578947363|True
1|4.7894736842105265|True
3|4.7894736842105265|True
2|4.947368421052632|True
2|1.7894736842105263|True
3|2.947368421052632|True
2|2.947368421052632|True
3|4.684210526315789|True
1|2.1052631578947367|True
3|3.2105263157894735|True
2|4.473684210526316|True
3|4.7894736842105265|True
1|4.842105263157895|True
2|4.894736842105264|True
3|2.1052631578947367|True
1|4.578947368421052|True
3|3.736842105263158|True
1|3.894736842105263|True
3|3.5789473684210527|True
1|3.0526315789473686|True
3|2.789473684210526|True
2|3.5789473684210527|True
1|4.842105263157895|True
3|3.68421052631579|True
2|4.2631578947368425|True
1|3.0526315789473686|True
3|1.9473684210526314|True
2|2.1052631578947367|True
2|0|True
3|0|True
2|1.5789473684210527|True
3|0.8421052631578946|True
2|0.42105263157894757|True
3|0.21052631578947378|True
2|0.736842105263158|True
3|1.4210526315789473|True
2|3.0526315789473686|True
2|2.210526315789474|True
3|1.6842105263157898|True
1|4.7894736842105265|True
3|3.736842105263158|True
2|4.842105263157895|True
1|2.263157894736842|True
3|2.263157894736842|True
2|4.421052631578947|True
2|0.8421052631578946|True
3|0|True
3|4.684210526315789|True
3|4.157894736842105|True
0|0|True
1|0|True
3|0|True
1|3.736842105263158|True
3|4.2631578947368425|True
2|4.7894736842105265|True
3|4.631578947368421|True
2|2.0526315789473686|True
2|2.210526315789474|True
2|2.210526315789474|True
2|2.210526315789474|True
3|2.210526315789474|True
2|0.6842105263157894|True
3|0.3157894736842104|True
2|2.526315789473684|True
3|2.0|True
2|1.526315789473684|True
1|1.526315789473684|True
3|1.526315789473684|True
1|0|True
3|3.1578947368421053|True
2|0.8421052631578946|True
2|1.4210526315789473|True
2|1.4210526315789473|True
2|1.4210526315789473|True
2|1.3684210526315788|True
2|1.3684210526315788|True
2|1.3684210526315788|True
2|-2.5|True
2|-2.5|True
2|-2.5|True
3|2.0526315789473686|True
2|1.8947368421052628|True
3|1.6842105263157898|True
1|2.578947368421053|True
3|4.315789473684211|True
2|2.7368421052631575|True
3|2.263157894736842|True
1|1.4210526315789473|True
3|4.842105263157895|True
3|4.421052631578947|True
1|3.947368421052632|True
2|2.7368421052631575|True
1|2.789473684210526|True
3|0.736842105263158|True
1|4.736842105263158|True
3|4.736842105263158|True
1|3.5789473684210527|True
1|3.0|True
3|3.0526315789473686|True
1|2.263157894736842|True
2|3.3684210526315788|True
1|1.8947368421052628|True
3|1.8947368421052628|True
1|2.8421052631578947|True
2|1.842105263157895|True
1|2.1052631578947367|True
3|0.42105263157894757|True
2|0.7894736842105265|True
3|1.4210526315789473|True
2|1.473684210526316|True
3|0|True
2|1.4210526315789473|True
3|0.5789473684210528|True
2|2.0|True
3|1.842105263157895|True
0|4.0|True
3|3.7894736842105265|True
1|4.0|True
2|4.578947368421052|True
3|3.68421052631579|True
1|0|True
3|3.3684210526315788|True
2|2.8421052631578947|True
2|0.368421052631579|True
3|0.368421052631579|True
3|0.9999999999999998|True
3|0.9999999999999998|True
2|1.2105263157894735|True
3|1.105263157894737|True
2|1.842105263157895|True
3|2.8421052631578947|True
3|4.315789473684211|True
1|4.894736842105264|True
3|4.0|True
0|0|True
1|0|True
3|3.2631578947368425|True
1|3.0526315789473686|True
3|2.8947368421052633|True
1|3.0|True
3|2.789473684210526|True
1|2.263157894736842|True
2|3.3157894736842106|True
1|4.842105263157895|True
3|4.842105263157895|True
2|2.0526315789473686|True
3|0.10526315789473661|True
2|4.473684210526316|True
1|4.736842105263158|True
3|4.894736842105264|True
2|4.0|True
2|0.9473684210526317|True
2|0.9473684210526317|True
2|0.9473684210526317|True
3|2.0|True
2|2.6315789473684212|True
3|2.3157894736842106|True
1|2.0|True
3|4.842105263157895|True
2|1.6315789473684212|True
2|0.3157894736842104|True
2|0.3157894736842104|True
2|0.8947368421052632|True
2|0.8947368421052632|True
2|0.8947368421052632|True
